date_time,ms_played,minutes_played,country,episode_name,show_name,album_name,track_name,artist_name,skipped,type
2020-11-29 19:58:13+00:00,102537,1.70895,NZ,"Day 3: ""He/she has two + noun"" in Cantonese",Learn Cantonese Daily,No Album Name,No Track Name,No Artist Name,FALSE,Podcast Show
2020-11-29 19:59:31+00:00,77274,1.2879,NZ,"Day 4: ""How to get to..."" in Cantonese",Learn Cantonese Daily,No Album Name,No Track Name,No Artist Name,FALSE,Podcast Show
2020-11-29 20:07:56+00:00,46344,0.7724,NZ,"Day 5: ""What do you like to do"" in Cantonese",Learn Cantonese Daily,No Album Name,No Track Name,No Artist Name,FALSE,Podcast Show
2020-11-30 19:11:51+00:00,83218,1.386966667,NZ,"Day 15: ""I want to buy..."" in Cantonese",Learn Cantonese Daily,No Album Name,No Track Name,No Artist Name,FALSE,Podcast Show
2020-11-30 19:11:51+00:00,123342,2.0557,NZ,"Day 12: ""What's your favorite..."" in Cantonese",Learn Cantonese Daily,No Album Name,No Track Name,No Artist Name,FALSE,Podcast Show
2020-11-30 19:11:51+00:00,77274,1.2879,NZ,"Day 10: ""What is your name"" in Cantonese",Learn Cantonese Daily,No Album Name,No Track Name,No Artist Name,FALSE,Podcast Show
2020-11-30 19:11:51+00:00,120370,2.006166667,NZ,Day 22: Numbers 6 to 10 in Cantonese,Learn Cantonese Daily,No Album Name,No Track Name,No Artist Name,FALSE,Podcast Show
2020-11-30 19:11:51+00:00,49153,0.819216667,NZ,"Day 5: ""What do you like to do"" in Cantonese",Learn Cantonese Daily,No Album Name,No Track Name,No Artist Name,FALSE,Podcast Show
2020-11-30 19:11:51+00:00,86191,1.436516667,NZ,Day 18: Future tense in Cantonese,Learn Cantonese Daily,No Album Name,No Track Name,No Artist Name,FALSE,Podcast Show
2020-11-30 19:11:51+00:00,42,0.0007,NZ,"Day 43: ""I am very hungry"" in Cantonese",Learn Cantonese Daily,No Album Name,No Track Name,No Artist Name,FALSE,Podcast Show
2020-11-30 19:11:51+00:00,75788,1.263133333,NZ,"Day 8: ""How's your day today"" in Cantonese",Learn Cantonese Daily,No Album Name,No Track Name,No Artist Name,FALSE,Podcast Show
2020-11-30 19:11:51+00:00,92135,1.535583333,NZ,Day 20: Numbers 1 to 5 in Cantonese,Learn Cantonese Daily,No Album Name,No Track Name,No Artist Name,FALSE,Podcast Show
2020-11-30 19:11:51+00:00,74302,1.238366667,NZ,Day 17: My first dim sum event is opened to anyone who is interested!,Learn Cantonese Daily,No Album Name,No Track Name,No Artist Name,FALSE,Podcast Show
2020-11-30 19:11:51+00:00,56469,0.94115,NZ,Day 14: How to apologize in Cantonese,Learn Cantonese Daily,No Album Name,No Track Name,No Artist Name,FALSE,Podcast Show
2020-11-30 19:11:51+00:00,120370,2.006166667,NZ,Day 22: Numbers 6 to 10 in Cantonese,Learn Cantonese Daily,No Album Name,No Track Name,No Artist Name,FALSE,Podcast Show
2020-11-30 19:11:51+00:00,96593,1.609883333,NZ,"Day 9: ""What do you like to eat"" in Cantonese",Learn Cantonese Daily,No Album Name,No Track Name,No Artist Name,FALSE,Podcast Show
2020-11-30 19:11:51+00:00,77274,1.2879,NZ,"Day 4: ""How to get to..."" in Cantonese",Learn Cantonese Daily,No Album Name,No Track Name,No Artist Name,FALSE,Podcast Show
2020-11-30 19:11:51+00:00,98079,1.63465,NZ,"Day 6: ""Where are you from"" in Cantonese",Learn Cantonese Daily,No Album Name,No Track Name,No Artist Name,FALSE,Podcast Show
2020-11-30 19:11:51+00:00,36242,0.604033333,NZ,Day 13: How to give compliments in Cantonese,Learn Cantonese Daily,No Album Name,No Track Name,No Artist Name,FALSE,Podcast Show
2020-11-30 19:11:51+00:00,81732,1.3622,NZ,"Day 11: ""What did you eat for lunch"" in Cantonese",Learn Cantonese Daily,No Album Name,No Track Name,No Artist Name,FALSE,Podcast Show
2020-11-30 19:11:51+00:00,59441,0.990683333,NZ,"Day 19: ""I am very happy today"" in Cantonese",Learn Cantonese Daily,No Album Name,No Track Name,No Artist Name,FALSE,Podcast Show
2020-11-30 19:11:51+00:00,80656,1.344266667,NZ,"Day 6: ""Where are you from"" in Cantonese",Learn Cantonese Daily,No Album Name,No Track Name,No Artist Name,FALSE,Podcast Show
2020-11-30 19:11:51+00:00,105510,1.7585,NZ,Day 16: How to negate in Cantonese,Learn Cantonese Daily,No Album Name,No Track Name,No Artist Name,FALSE,Podcast Show
2020-11-30 19:11:51+00:00,59441,0.990683333,NZ,"Day 21: ""The weather today is very nice"" in Cantonese",Learn Cantonese Daily,No Album Name,No Track Name,No Artist Name,FALSE,Podcast Show
2020-03-08 06:03:45+00:00,138669,2.31115,NZ,Drake - When To Say When & Chicago Freestyle,Yo Beach,No Album Name,No Track Name,No Artist Name,FALSE,Podcast Show
2020-06-10 09:07:06+00:00,50182,0.836366667,NZ,6ix9ine LOCKED UP PART 2 ON ALBUM GOING CRAZYYYYYYY 🔥🔥🔥 akon 💛💚💙💜❤️🧡🖤🤍,you-betterknow,No Album Name,No Track Name,No Artist Name,FALSE,Podcast Show
2020-06-10 18:51:36+00:00,14263,0.237716667,NZ,6ix9ine Does His First Live From Prison W DJ Akademiks. GOOBA FEFE BOOBA KIKI STOOPID,you-betterknow,No Album Name,No Track Name,No Artist Name,FALSE,Podcast Show
2020-06-10 18:51:36+00:00,50774,0.846233333,NZ,6ix9ine LOCKED UP PART 2 ON ALBUM GOING CRAZYYYYYYY 🔥🔥🔥 akon 💛💚💙💜❤️🧡🖤🤍,you-betterknow,No Album Name,No Track Name,No Artist Name,FALSE,Podcast Show
2020-06-10 18:51:36+00:00,2298,0.0383,NZ,6ix9ine LOCKED UP PART 2 ON ALBUM GOING CRAZYYYYYYY 🔥🔥🔥 akon 💛💚💙💜❤️🧡🖤🤍,you-betterknow,No Album Name,No Track Name,No Artist Name,FALSE,Podcast Show
2020-06-10 18:51:36+00:00,19701,0.32835,NZ,6ix9ine LOCKED UP PART 2 ON ALBUM GOING CRAZYYYYYYY 🔥🔥🔥 akon 💛💚💙💜❤️🧡🖤🤍,you-betterknow,No Album Name,No Track Name,No Artist Name,FALSE,Podcast Show
2020-06-10 18:51:36+00:00,50182,0.836366667,NZ,6ix9ine LOCKED UP PART 2 ON ALBUM GOING CRAZYYYYYYY 🔥🔥🔥 akon 💛💚💙💜❤️🧡🖤🤍,you-betterknow,No Album Name,No Track Name,No Artist Name,FALSE,Podcast Show
2020-06-10 18:51:36+00:00,33808,0.563466667,NZ,6ix9ine LOCKED UP PART 2 ON ALBUM GOING CRAZYYYYYYY 🔥🔥🔥 akon 💛💚💙💜❤️🧡🖤🤍,you-betterknow,No Album Name,No Track Name,No Artist Name,FALSE,Podcast Show
2020-06-10 19:11:25+00:00,40994,0.683233333,NZ,6ix9ine LOCKED UP PART 2 ON ALBUM GOING CRAZYYYYYYY 🔥🔥🔥 akon 💛💚💙💜❤️🧡🖤🤍,you-betterknow,No Album Name,No Track Name,No Artist Name,FALSE,Podcast Show
